u,v,length_meters
35543007,84818467,11.675605792146017
35543007,84818471,293.74415469853125
35543007,1382258683,230.43412954398798
84818467,84858498,236.23716965589074
84818471,84749479,125.24267755563781
35828878,84858519,12.898644191448906
35828878,582426174,115.18491546219985
35828878,84890186,22.094483887132924
35828878,582426172,156.19173580487242
84858519,84858518,121.77938831546713
84858519,3304882380,62.402729738915504
84858519,84858521,132.03376027145313
582426174,84858518,11.889634760783238
582426174,582426177,201.8278899918077
84890186,84888421,137.5796008369021
84890186,84890187,102.82221032090465
35830207,84899784,3.4363035284436187
35830207,4567894693,14.40661535719856
35830207,6009479547,27.38386019070224
84899784,6009479557,50.86163932654253
84899784,6009479559,13.767459266056271
84714020,84911618,23.544755378189496
84714020,84714023,148.01589838631676
84714020,84874005,94.88440070262193
84911618,84854673,47.501047141505055
84911618,84911604,367.9244925934233
84714023,84944341,30.791941308943887
84714023,84944356,31.17182566029492
84874005,84763853,87.05782817179767
84874005,84911604,82.85170238302774
84944341,84944356,195.2027908043232
84944341,84945042,60.348261503739344
84944356,84854685,42.3902911645537
84714117,3879139906,22.46676090103669
84714117,2168048296,38.37141125338965
84714117,2168048279,23.59046808514291
84714117,2168048283,40.00665274578785
3879139906,2168048276,22.60031038029488
3879139906,84714123,111.40743146613679
3879139906,3919850944,152.43960432907878
2168048296,2168048283,37.714497911527765
2168048296,3884809788,105.22818723682597
84714123,7120518703,11.663257888891406
84714123,7120518705,61.12119450600941
7120518703,6061498589,61.58772289339119
7120518703,2168048249,72.77298129415556
7120518705,6061498589,8.936716048059633
7120518705,7025491715,94.11264636065644
84714126,84714135,267.41326269526763
84714126,1802871198,203.14594702950967
84714126,2168048211,74.85429152986657
84714126,2168048249,48.096021954944504
84714135,6062671620,10.564815845290283
84714135,84945392,170.55535325272118
84714135,2168048182,19.69734362305119
6062671620,84945392,172.3689007546022
6062671620,2168048182,19.981106290551857
6062671620,2168048142,169.2257013253901
84945392,84854818,222.7787335703286
84714151,2168048070,19.044799338301612
84714151,2168048063,143.71530124765462
84714151,7064477691,201.55433828967642
84714151,2168048113,247.69913697021855
84714151,4338723748,202.41971155878176
2168048070,84902040,69.6029307136751
2168048070,2168048041,190.88743605153812
2168048070,2168048101,197.02455185688538
2168048063,2168048041,52.383001704486055
2168048063,84714155,238.36928805507418
7064477691,4338723748,11.818517933410458
7064477691,7064477722,155.45204811221654
84714155,2168047988,18.886499756981923
84714155,4336445399,79.28629109452623
2168047988,7776325957,1336.1924796524586
2168047988,2168048041,192.2409679092841
4336445399,84864049,157.7602123784701
84714514,84833619,201.20400742121967
84714514,84896047,102.52894509492106
84714514,84896036,98.54082273759785
84833619,84907332,30.10311655635499
84833619,84833701,34.30682086969873
84896047,1419646041,84.15111428448337
84896047,1502789923,167.5076227744901
84896047,84907332,68.27926928185919
84896036,84821505,207.71666832526142
84896036,84896029,201.97442013744336
84896036,84907314,68.73305009329174
84717082,3643263318,12.927404623158363
84717082,618869083,262.8791885689847
84717082,1383004559,51.689658245787065
84717082,84885811,807.799655353525
3643263318,84852655,994.7920309233583
3643263318,618869170,445.60208896257797
3643263318,3643263324,804.1818690360129
618869083,618869085,40.1380724284448
618869083,618869096,266.3643610104282
618869083,618869093,99.89881943276582
1383004559,618869096,89.34137413812283
1383004559,2168048369,196.56838278923178
84718061,84870209,356.70595197095287
84718061,84853918,138.83407277486424
84718061,2166438474,268.3326564506933
84870209,84853922,137.90286607279685
84870209,84870212,154.93635066744991
84870209,84902282,514.079478745539
84853918,84853922,356.3963472082725
84853918,84887325,190.80250669407704
2166438474,537627183,14.00900793136123
2166438474,2166438471,122.2611603331175
2166438474,2166438476,147.13740586588025
84718245,84718249,63.273916033605346
84718249,1276695598,108.43874314014442
1276695598,84718253,87.56896291152485
1276695598,1276695502,76.63077431384268
84718253,84822567,144.62263665416341
84718253,84740647,115.16695760179928
84822567,84822573,90.39450007548305
84822567,84923941,228.1907358026378
84740647,6062673640,11.1967263640643
84740647,1276695613,57.06461010266688
84719400,7054601241,126.44155473868105
7054601241,84850710,8.153628100943857
7054601241,4209520868,191.17805399578717
7054601241,84871267,142.7882689990336
84720230,84857944,141.91814404417445
84720230,84855086,221.39756091713875
84720230,84914755,73.56446307504305
84857944,84857118,223.52163354631435
84857944,4164196626,67.92440336052232
84857944,84898700,73.75628830725877
84855086,84842332,46.26138956763788
84855086,84857118,156.74585949801772
84914755,84824867,69.57081307319629
84914755,84860622,138.88518682735818
84914755,4085770881,49.5863718871536
84724078,10752195646,48.09454804167892
10752195646,84724082,14.017351662412702
10752195646,84773352,107.90221714346549
84724082,84912793,61.96671437361941
84724082,84724093,127.14114449475632
84912793,2091313602,22.310456550274
84912793,84927872,239.11133852348863
84912793,2091313591,280.55222263016407
84724093,84724093,184.04258550011468
84729256,3643263325,169.50000093197852
3643263325,84883761,14.80627737059087
3643263325,3643263324,95.25767069845631
3643263325,3643263328,202.1216300122901
84729297,84852318,48.52071349658465
84729297,9258557878,20.015915473461085
84729297,84887484,51.96418451028373
84852318,84852270,32.47053070993334
84852318,84889814,51.48568322451302
84887484,3584093883,53.241540142231436
84887484,84889814,48.29244524970964
84729507,7192733331,66.50340312017883
84729507,84891178,107.3589935121266
84729507,84841538,199.71730418850734
84891178,84818780,82.05059410886666
84891178,84842320,200.16706089263977
84841538,1286805167,121.47483477310882
84841538,84842320,106.82679463784079
84729978,84913581,21.67210524767148
84913581,84890145,100.35789528542794
84913581,84904280,242.24958066935895
84729994,84890145,28.892097117676094
84890145,84890140,179.6400737236605
84730052,84899299,38.47060137953867
84730052,84899302,200.53767059305295
84730052,84922084,98.80540039055444
84730052,2587439002,51.60559418372959
84899299,2587439000,11.568306300548624
84899299,2587439001,25.654572014492352
84899302,2587439014,60.11463344386648
84899302,84925827,97.85186446038554
84922084,84871247,95.75141893404842
84922084,84925827,200.28421848287888
2587439002,2587439013,44.68481431328601
2587439002,2587439036,69.97767638461897
84730087,3566542201,7.756867062921493
84730087,9414359727,103.07676200796186
84730087,84826674,150.0483451247934
3566542201,84826666,39.143157679223116
3566542201,3566542203,94.30855476060304
84826674,2089578874,14.704934038642284
84826674,84875906,180.59085565857623
84826674,84864455,266.2200788880175
84731006,1382202028,11.850158802724218
84731006,84930874,157.06249219967697
84731006,84828161,199.88135553159788
84731006,2168048430,182.36435382596073
1382202028,2168048429,187.42132944767113
1382202028,1382202036,157.01329760370902
84930874,1382202036,11.15482094745588
84930874,84909927,280.73393477013263
84828161,84863180,513.04218425431
84828161,84942165,498.16445645027216
84733287,84920977,88.2964426018698
84733287,84880712,201.61919551179793
84733287,84922788,185.8924035390903
84920977,84887303,630.9936461506558
84920977,84920975,180.75937365863373
84880712,84917899,77.12565139423721
84880712,84880725,435.2843156218908
84922788,84920975,88.79634346915135
84922788,84922782,207.71344531027518
84922788,84931920,434.8278487112695
84733401,84733405,46.95358305865766
84733401,2166438436,20.506879459429133
84733401,84930002,145.32410145538856
84733405,84733410,24.400663701152673
84733405,84794514,101.12594820324738
2166438436,84829225,488.98105647301395
2166438436,2166438447,53.118028772189604
84930002,84829223,517.7213255116017
84930002,84932697,369.8874597685765
84733410,84733413,76.58027531425431
84733410,84764964,52.21337559836483
84794514,8556308663,31.595323802342612
84794514,84885194,80.10128582004901
84764964,84764966,82.08242950398237
84764964,84885194,65.57944307367809
84734079,84808342,504.83457810421737
84734079,3304880548,14.551711418719007
84808342,84768503,13.721993968237447
84808342,3304880553,14.344178820599184
3304880548,3304880552,459.1663195336404
84734485,84833076,210.6629087697006
84734485,84854291,103.65626735107048
84734485,84916463,204.34544554301647
84833076,6062789516,8.686997206451721
84833076,84833078,102.32176166367852
84833076,6062789514,99.29752788312203
84854291,84833078,210.66555884314997
84854291,84913317,100.30306834487975
84916463,84833065,212.53002876748297
84916463,84884687,201.48055506357153
84916463,84890820,133.2735056386765
84734487,84913317,44.218749349342595
84734487,84884679,160.56200191795605
84913317,84833079,209.38769188802104
84913317,84843612,101.32098286394911
84884679,84884672,204.72039944738304
84884679,10174621595,53.63510161642462
84735335,3703487151,124.00938193687767
84735335,3703487145,240.7060140594351
84735335,3703487162,107.55896585266004
3703487151,3703487145,121.98330805136823
3703487151,3703487162,407.1881099140223
3703487145,9901159740,72.50682745533052
3703487162,3703487164,86.02623369947463
3703487162,7082402313,216.73240867271278
84736682,84785777,80.04668943778456
84785777,84884640,136.78124190333588
84785777,84887282,437.3171690822148
84737585,84793800,30.817626147129886
84737585,84737587,55.03347482815579
84737585,84852719,49.62754319571927
84793800,84793799,13.20971337106821
84793800,84822861,99.93905530544612
84737587,84737587,51.70343733535967
84852719,84852719,29.50840783760294
84738192,3304882369,13.006227881155517
84738192,84883066,50.23110007228827
84738192,1924766905,199.60668797685582
84738192,84838163,106.12314765500126
3304882369,3304882368,105.20605068883965
3304882369,3304882371,54.87875486035654
84883066,3304882371,13.598106033485024
84883066,84860190,154.2767151167847
1924766905,84840396,149.0127973742412
1924766905,84861261,8.407343353757296
84738207,3304880552,565.2391618132659
3304880552,3304880553,45.22475390517761
84738224,84738224,172.09049432422057
84738224,3633010367,220.146837920077
3633010367,84809164,23.44540651147641
3633010367,84822583,331.9457057769946
6062673640,84740773,65.69880106590426
6062673640,6062673637,59.91476458426425
84740773,618869383,31.25356170105063
84740773,618869382,58.59449056073986
618869383,618869382,53.07579335737821
618869383,2168048279,89.70302108057345
84741836,84741860,85.19086495800053
84741836,84779131,82.25808064451832
84741836,84779118,88.00160839007034
84779131,84779118,128.50896218087368
84779131,84936424,233.32805845729186
84779118,84785497,82.91016494303283
84743086,84837832,176.83986021296852
84743086,84898820,252.61482346709272
84743086,84873625,98.27241310691669
84837832,84821019,79.83830508176398
84837832,84845376,127.56232133882946
84837832,84845371,103.14689849404711
84898820,84840626,764.4564755267731
84898820,84943641,116.68739944931964
84873625,84833782,101.10769340962271
84873625,84845371,192.7189100719299
84873625,84863802,299.9093324117728
84743127,2654220485,415.99898401552144
84743127,84853931,21.411433133706403
84743127,3041198338,182.0395653496124
2654220485,3041198338,743.4497196698778
2654220485,2654220664,14.122980353562385
84853931,2654220406,362.9631295492972
84853931,84853933,142.04064995051195
3041198338,3041198339,17.613866830455265
84743209,84743211,57.36379843721949
84743209,84877581,95.79193608396315
84743209,84882477,141.25936222212414
84743211,84806272,111.98183846659389
84743211,84871701,416.80702249337475
84877581,84877579,67.11522559014945
84877581,84882477,164.23620930126629
84882477,84883542,61.56981470031026
84806272,84806153,294.2312506791307
84806272,84826797,180.35632147587359
84871701,4228788899,8.23960665929708
84743324,84743330,32.499790342967074
84743330,84801195,84.2982781517787
84743330,84801174,136.53339936091862
84801195,84756999,104.43877061501648
84801195,84801189,43.522800777942734
84801195,84804179,98.81007720522564
84801174,84743363,115.94850537389202
84801174,84801172,22.177599840838703
84743363,3708176397,24.279722489353144
84743363,3205671828,169.44536063180814
3708176397,3708176397,64.96158739559536
3205671828,84861290,13.497211591034942
3205671828,6062730827,178.35597941571848
3205671828,3205671830,130.04070937470811
84743926,3205665644,16.992611980011297
84743926,84880708,365.8945762286046
84743926,84845428,141.86856880708729
84743926,84845421,76.87368305718236
3205665644,84845419,158.29786357389506
3205665644,3205665647,82.31376065001811
84880708,84880705,77.21853696338123
84880708,84896080,379.27816259201734
84880708,11542740410,118.20181619387597
84845428,3801402411,120.37365446986851
84845428,3205665647,63.84538735679125
84744634,84744637,174.5046365374663
84744637,84862085,14.852253092316369
84744637,3708669952,121.76724576534318
84862085,3205671677,95.01422410337078
84862085,11542740410,490.58076086152994
3708669952,84862089,65.06763290019992
3708669952,3708669953,12.158740730383348
84745018,84745028,77.12181349843254
84745028,84745032,74.50833888570622
84745028,84773345,171.80316418365845
84745032,84745038,71.96210328907716
84745032,84745069,234.96065534864502
84773345,84745069,69.91648389990503
84773345,84773347,9.9969968294778
84745038,84745045,61.51409610683508
